funcid,dim,milestone,error
30,10,1,6.550783e+08
30,10,2,4.571692e+08
30,10,3,4.380243e+08
30,10,5,5.816907e+07
30,10,10,5.635941e+07
30,10,20,5.635941e+07
30,10,30,9.392556e+06
30,10,40,9.392556e+06
30,10,50,9.392556e+06
30,10,60,9.392556e+06
30,10,70,9.392556e+06
30,10,80,9.392556e+06
30,10,90,5.183029e+06
30,10,100,3.377270e+05
30,10,1,8.415633e+08
30,10,2,7.678221e+06
30,10,3,5.130457e+06
30,10,5,5.130457e+06
30,10,10,4.969601e+06
30,10,20,4.969601e+06
30,10,30,4.969601e+06
30,10,40,4.969601e+06
30,10,50,4.969601e+06
30,10,60,4.969601e+06
30,10,70,4.969601e+06
30,10,80,4.969601e+06
30,10,90,4.969601e+06
30,10,100,3.898626e+05
30,10,1,4.521393e+08
30,10,2,4.479758e+08
30,10,3,4.479758e+08
30,10,5,4.429743e+08
30,10,10,6.079440e+06
30,10,20,5.657307e+06
30,10,30,5.657307e+06
30,10,40,5.657307e+06
30,10,50,5.657307e+06
30,10,60,5.657307e+06
30,10,70,5.657307e+06
30,10,80,5.657307e+06
30,10,90,5.657307e+06
30,10,100,5.657307e+06
30,10,1,3.171394e+08
30,10,2,3.597912e+07
30,10,3,2.370158e+07
30,10,5,2.370158e+07
30,10,10,2.370158e+07
30,10,20,2.370158e+07
30,10,30,2.370158e+07
30,10,40,2.370158e+07
30,10,50,7.715446e+05
30,10,60,7.715446e+05
30,10,70,7.715446e+05
30,10,80,7.715446e+05
30,10,90,7.715446e+05
30,10,100,7.715446e+05
30,10,1,1.161910e+08
30,10,2,1.153904e+08
30,10,3,1.153904e+08
30,10,5,1.153904e+08
30,10,10,1.089871e+08
30,10,20,3.119481e+06
30,10,30,3.119481e+06
30,10,40,3.119481e+06
30,10,50,3.119481e+06
30,10,60,3.119481e+06
30,10,70,3.119481e+06
30,10,80,3.119481e+06
30,10,90,3.119481e+06
30,10,100,1.292562e+06
30,10,1,2.390590e+09
30,10,2,2.384973e+09
30,10,3,3.690812e+08
30,10,5,3.009197e+08
30,10,10,3.009197e+08
30,10,20,3.009197e+08
30,10,30,1.043039e+08
30,10,40,1.043039e+08
30,10,50,1.043039e+08
30,10,60,7.461970e+07
30,10,70,7.461970e+07
30,10,80,6.511185e+07
30,10,90,1.204385e+07
30,10,100,4.522220e+05
30,10,1,5.027095e+09
30,10,2,2.182157e+08
30,10,3,2.104787e+08
30,10,5,2.104787e+08
30,10,10,2.104787e+08
30,10,20,9.893869e+07
30,10,30,2.000466e+07
30,10,40,2.000466e+07
30,10,50,2.000466e+07
30,10,60,5.802589e+06
30,10,70,3.235153e+06
30,10,80,3.235153e+06
30,10,90,3.235153e+06
30,10,100,3.235153e+06
30,10,1,4.290328e+08
30,10,2,4.229521e+08
30,10,3,4.229521e+08
30,10,5,1.494044e+08
30,10,10,1.322934e+08
30,10,20,1.322934e+08
30,10,30,1.322934e+08
30,10,40,5.897479e+07
30,10,50,2.432709e+07
30,10,60,2.685330e+06
30,10,70,5.634255e+05
30,10,80,5.634255e+05
30,10,90,5.634255e+05
30,10,100,4.924826e+05
30,10,1,2.559822e+09
30,10,2,1.212269e+08
30,10,3,1.139158e+08
30,10,5,4.894587e+07
30,10,10,4.766925e+07
30,10,20,4.766925e+07
30,10,30,4.766925e+07
30,10,40,1.490962e+05
30,10,50,6.946016e+04
30,10,60,6.946016e+04
30,10,70,6.946016e+04
30,10,80,6.946016e+04
30,10,90,6.946016e+04
30,10,100,6.946016e+04
30,10,1,5.320560e+09
30,10,2,4.618033e+08
30,10,3,4.168849e+08
30,10,5,1.776808e+08
30,10,10,8.725561e+07
30,10,20,8.047202e+07
30,10,30,8.047202e+07
30,10,40,8.779340e+06
30,10,50,8.779340e+06
30,10,60,8.779340e+06
30,10,70,8.779340e+06
30,10,80,8.779340e+06
30,10,90,8.779340e+06
30,10,100,9.562408e+05
